iter	Passed	Remaining
928	2033	155
929	2035	153
930	2036	150
931	2038	148
932	2039	146
933	2040	144
934	2042	141
935	2043	139
936	2044	137
937	2046	135
938	2047	133
939	2049	130
940	2051	128
941	2052	126
942	2054	124
943	2055	121
944	2056	119
945	2058	117
946	2059	115
947	2060	113
948	2063	110
949	2064	108
950	2066	106
951	2067	104
952	2069	102
953	2070	99
954	2071	97
955	2073	95
956	2074	93
957	2075	90
958	2078	88
959	2079	86
960	2081	84
961	2082	82
962	2084	80
963	2085	77
964	2087	75
965	2088	73
966	2090	71
967	2092	69
968	2093	66
969	2095	64
970	2096	62
971	2098	60
972	2099	58
973	2101	56
974	2102	53
975	2104	51
976	2106	49
977	2110	47
978	2112	45
979	2113	43
980	2115	40
981	2116	38
982	2117	36
983	2119	34
984	2120	32
985	2122	30
986	2124	27
987	2126	25
988	2130	23
989	2132	21
990	2133	19
991	2134	17
992	2137	15
993	2139	12
994	2140	10
995	2142	8
996	2143	6
997	2144	4
998	2146	2
999	2147	0
